OP_NAME,DEVICE_ID,CALL_IDX,KERNEL_DUR_us,CORES,AVAIL_CORES,CORE_UTIL%,MATH_FIDELITY,IN0_SHAPE,IN0_LAYOUT,IN0_DTYPE,IN0_MEM,IN1_SHAPE,IN1_MEM,OUT0_SHAPE,OUT0_MEM,FPU_UTIL%,DRAM_BW_UTIL%
EmbeddingsDeviceOperation,0,102400,0.00,70,70,100.0,HiFi4,8192[8192],ROW_MAJOR,UINT32,DRAM_INTERLEAVED,128256[128256]x2048[2048],DRAM_INTERLEAVED,8192[8192]x2048[2048],DRAM_INTERLEAVED,0.0,0.0
TypecastDeviceOperation,0,103424,219.20,70,70,100.0,HiFi4,8192[8192]x2048[2048],TILE,BFLOAT16,DRAM_INTERLEAVED,,,8192[8192]x2048[2048],DRAM_INTERLEAVED,0.0,0.0
LayerNormPreAllGatherDeviceOperation,0,104448,138.12,70,70,100.0,HiFi2,8192[8192]x2048[2048],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,8192[8192]x32[32],DRAM_INTERLEAVED,0.0,0.0
AllGatherAsyncDeviceOperation,0,105472,44.16,24,70,34.3,,8192[8192]x32[32],TILE,BFLOAT16,DRAM_INTERLEAVED,,,8192[8192]x128[128],DRAM_INTERLEAVED,0.0,0.0
LayerNormPostAllGatherDeviceOperation,0,106496,227.84,70,70,100.0,HiFi2,8192[8192]x2048[2048],TILE,BFLOAT8_B,DRAM_INTERLEAVED,8192[8192]x128[128],DRAM_INTERLEAVED,8192[8192]x2048[2048],DRAM_INTERLEAVED,0.0,0.0
MatmulDeviceOperation,0,107520,569.82,56,70,80.0,HiFi2,4[4]x2048[2048]x2048[2048],TILE,BFLOAT8_B,DRAM_INTERLEAVED,2048[2048]x1280[1280],DRAM_INTERLEAVED,4[4]x2048[2048]x1280[1280],DRAM_INTERLEAVED,52.6,0.0
ReduceScatterMinimalAsyncDeviceOperation,0,108544,265.87,40,70,57.1,HiFi4,8192[8192]x1280[1280],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,8192[8192]x1280[1280],DRAM_INTERLEAVED,0.0,0.0
AllGatherAsyncDeviceOperation,0,109568,185.36,40,70,57.1,,8192[8192]x320[320],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,8192[8192]x1280[1280],DRAM_INTERLEAVED,0.0,0.0
NlpCreateHeadsDeviceOperation,0,110592,117.41,70,70,100.0,,8192[8192]x1280[1280],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,8[8]x8192[8192]x128[128],DRAM_INTERLEAVED,0.0,0.0
TypecastDeviceOperation,0,111616,146.51,70,70,100.0,HiFi4,8[8]x8192[8192]x128[128],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,8[8]x8192[8192]x128[128],DRAM_INTERLEAVED,0.0,0.0
RotaryEmbeddingLlamaDeviceOperation,0,112640,307.32,70,70,100.0,HiFi4,8[8]x8192[8192]x128[128],TILE,BFLOAT16,DRAM_INTERLEAVED,131072[131072]x128[128],DRAM_INTERLEAVED,8[8]x8192[8192]x128[128],DRAM_INTERLEAVED,0.0,0.0
TypecastDeviceOperation,0,113664,17.99,70,70,100.0,HiFi4,8192[8192]x128[128],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,8192[8192]x128[128],DRAM_INTERLEAVED,0.0,0.0
RotaryEmbeddingLlamaDeviceOperation,0,114688,46.62,70,70,100.0,HiFi4,8192[8192]x128[128],TILE,BFLOAT16,DRAM_INTERLEAVED,131072[131072]x128[128],DRAM_INTERLEAVED,8192[8192]x128[128],DRAM_INTERLEAVED,0.0,0.0
TypecastDeviceOperation,0,115712,15.14,70,70,100.0,HiFi4,8192[8192]x128[128],TILE,BFLOAT16,DRAM_INTERLEAVED,,,8192[8192]x128[128],DRAM_INTERLEAVED,0.0,0.0
TypecastDeviceOperation,0,116736,11.24,70,70,100.0,HiFi4,8192[8192]x128[128],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,8192[8192]x128[128],DRAM_INTERLEAVED,0.0,0.0
PagedFillCacheDeviceOperation,0,117760,12.39,70,70,100.0,,2048[2048]x64[64]x128[128],TILE,BFLOAT8_B,DRAM_INTERLEAVED,8192[8192]x128[128],DRAM_INTERLEAVED,2048[2048]x64[64]x128[128],DRAM_INTERLEAVED,0.0,0.0
PagedFillCacheDeviceOperation,0,118784,12.92,70,70,100.0,,2048[2048]x64[64]x128[128],TILE,BFLOAT8_B,DRAM_INTERLEAVED,8192[8192]x128[128],DRAM_INTERLEAVED,2048[2048]x64[64]x128[128],DRAM_INTERLEAVED,0.0,0.0
TypecastDeviceOperation,0,119808,107.66,70,70,100.0,HiFi4,8[8]x8192[8192]x128[128],TILE,BFLOAT16,DRAM_INTERLEAVED,,,8[8]x8192[8192]x128[128],DRAM_INTERLEAVED,0.0,0.0
SDPA,0,120832,1809.46,70,70,100.0,HiFi4,8[8]x8192[8192]x128[128],TILE,BFLOAT8_B,DRAM_INTERLEAVED,8192[8192]x128[128],DRAM_INTERLEAVED,8[8]x2048[2048]x128[128],DRAM_INTERLEAVED,0.0,0.0
NLPConcatHeadsDeviceOperation,0,121856,22.30,64,70,91.4,,8[8]x2048[2048]x128[128],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,2048[2048]x1024[1024],DRAM_INTERLEAVED,0.0,0.0
SliceDeviceOperation,0,122880,12.20,70,70,100.0,,2048[2048]x1024[1024],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,1024[1024]x1024[1024],DRAM_INTERLEAVED,33.9,0.0
SliceDeviceOperation,0,123904,11.84,70,70,100.0,,2048[2048]x1024[1024],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,1024[1024]x1024[1024],DRAM_INTERLEAVED,35.0,0.0
AllGatherAsyncDeviceOperation,0,124928,81.40,40,70,57.1,,1024[1024]x1024[1024],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,4096[4096]x1024[1024],DRAM_INTERLEAVED,0.0,0.0
AllGatherAsyncDeviceOperation,0,125952,84.51,40,70,57.1,,1024[1024]x1024[1024],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,4096[4096]x1024[1024],DRAM_INTERLEAVED,0.0,0.0
ConcatDeviceOperation,0,126976,79.86,70,70,100.0,,4096[4096]x1024[1024],TILE,BFLOAT8_B,DRAM_INTERLEAVED,4096[4096]x1024[1024],DRAM_INTERLEAVED,8192[8192]x1024[1024],DRAM_INTERLEAVED,0.0,0.0
MatmulDeviceOperation,0,128000,474.81,56,70,80.0,HiFi2,8[8]x1024[1024]x1024[1024],TILE,BFLOAT8_B,DRAM_INTERLEAVED,1024[1024]x2048[2048],DRAM_INTERLEAVED,8[8]x1024[1024]x2048[2048],DRAM_INTERLEAVED,0.0,0.0
ReduceScatterMinimalAsyncDeviceOperation,0,129024,489.87,40,70,57.1,HiFi4,8192[8192]x2048[2048],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,8192[8192]x2048[2048],DRAM_INTERLEAVED,0.0,0.0
AllGatherAsyncDeviceOperation,0,130048,318.43,40,70,57.1,,8192[8192]x256[256],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,8192[8192]x2048[2048],DRAM_INTERLEAVED,0.0,0.0
BinaryNgDeviceOperation,0,131072,237.76,70,70,100.0,HiFi4,8192[8192]x2048[2048],TILE,BFLOAT8_B,DRAM_INTERLEAVED,8192[8192]x2048[2048],DRAM_INTERLEAVED,8192[8192]x2048[2048],DRAM_INTERLEAVED,0.0,0.0
LayerNormPreAllGatherDeviceOperation,0,132096,140.57,70,70,100.0,HiFi2,8192[8192]x2048[2048],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,8192[8192]x32[32],DRAM_INTERLEAVED,0.0,0.0
AllGatherAsyncDeviceOperation,0,133120,55.09,24,70,34.3,,8192[8192]x32[32],TILE,BFLOAT16,DRAM_INTERLEAVED,,,8192[8192]x128[128],DRAM_INTERLEAVED,0.0,0.0
LayerNormPostAllGatherDeviceOperation,0,134144,227.66,70,70,100.0,HiFi2,8192[8192]x2048[2048],TILE,BFLOAT8_B,DRAM_INTERLEAVED,8192[8192]x128[128],DRAM_INTERLEAVED,8192[8192]x2048[2048],DRAM_INTERLEAVED,0.0,0.0
MatmulDeviceOperation,0,135168,747.79,63,70,90.0,LoFi,8192[8192]x2048[2048],TILE,BFLOAT8_B,DRAM_INTERLEAVED,2048[2048]x3584[3584],DRAM_INTERLEAVED,8192[8192]x3584[3584],DRAM_INTERLEAVED,0.0,0.0
ReduceScatterMinimalAsyncDeviceOperation,0,136192,704.62,40,70,57.1,HiFi4,8192[8192]x3584[3584],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,8192[8192]x3584[3584],DRAM_INTERLEAVED,0.0,0.0
MatmulDeviceOperation,0,137216,751.90,63,70,90.0,LoFi,8192[8192]x2048[2048],TILE,BFLOAT8_B,DRAM_INTERLEAVED,2048[2048]x3584[3584],DRAM_INTERLEAVED,8192[8192]x3584[3584],DRAM_INTERLEAVED,0.0,0.0
ReduceScatterMinimalAsyncDeviceOperation,0,138240,694.29,40,70,57.1,HiFi4,8192[8192]x3584[3584],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,8192[8192]x3584[3584],DRAM_INTERLEAVED,0.0,0.0
BinaryNgDeviceOperation,0,139264,200.54,70,70,100.0,HiFi4,8192[8192]x896[896],TILE,BFLOAT8_B,DRAM_INTERLEAVED,8192[8192]x896[896],DRAM_INTERLEAVED,8192[8192]x896[896],DRAM_INTERLEAVED,0.0,0.0
AllGatherAsyncDeviceOperation,0,140288,530.09,40,70,57.1,,8192[8192]x896[896],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,8192[8192]x3584[3584],DRAM_INTERLEAVED,0.0,0.0
MatmulDeviceOperation,0,141312,1321.09,56,70,80.0,HiFi2,8192[8192]x3584[3584],TILE,BFLOAT8_B,DRAM_INTERLEAVED,3584[3584]x2048[2048],DRAM_INTERLEAVED,8192[8192]x2048[2048],DRAM_INTERLEAVED,0.0,0.0
ReduceScatterMinimalAsyncDeviceOperation,0,142336,469.76,40,70,57.1,HiFi4,8192[8192]x2048[2048],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,8192[8192]x2048[2048],DRAM_INTERLEAVED,0.0,0.0
AllGatherAsyncDeviceOperation,0,143360,305.15,40,70,57.1,,8192[8192]x256[256],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,8192[8192]x2048[2048],DRAM_INTERLEAVED,0.0,0.0
BinaryNgDeviceOperation,0,144384,234.10,70,70,100.0,HiFi4,8192[8192]x2048[2048],TILE,BFLOAT8_B,DRAM_INTERLEAVED,8192[8192]x2048[2048],DRAM_INTERLEAVED,8192[8192]x2048[2048],DRAM_INTERLEAVED,0.0,0.0
LayerNormPreAllGatherDeviceOperation,0,145408,138.80,70,70,100.0,HiFi2,8192[8192]x2048[2048],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,8192[8192]x32[32],DRAM_INTERLEAVED,0.0,0.0
AllGatherAsyncDeviceOperation,0,146432,45.88,24,70,34.3,,8192[8192]x32[32],TILE,BFLOAT16,DRAM_INTERLEAVED,,,8192[8192]x128[128],DRAM_INTERLEAVED,0.0,0.0
LayerNormPostAllGatherDeviceOperation,0,147456,227.62,70,70,100.0,HiFi2,8192[8192]x2048[2048],TILE,BFLOAT8_B,DRAM_INTERLEAVED,8192[8192]x128[128],DRAM_INTERLEAVED,8192[8192]x2048[2048],DRAM_INTERLEAVED,0.0,0.0
UntilizeDeviceOperation,0,148480,315.61,64,70,91.4,HiFi4,8192[8192]x2048[2048],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,8192[8192]x2048[2048],DRAM_INTERLEAVED,37.9,0.0
SliceDeviceOperation,0,149504,1.29,1,70,1.4,,8192[8192]x2048[2048],ROW_MAJOR,BFLOAT16,DRAM_INTERLEAVED,,,2048[2048],DRAM_INTERLEAVED,38.9,0.0
TilizeWithValPaddingDeviceOperation,0,150528,5.64,64,70,91.4,HiFi4,2048[2048],ROW_MAJOR,BFLOAT16,DRAM_INTERLEAVED,,,32[1]x2048[2048],DRAM_INTERLEAVED,0.0,0.0
MatmulDeviceOperation,0,151552,194.78,47,70,67.1,HiFi2,32[1]x2048[2048],TILE,BFLOAT16,DRAM_INTERLEAVED,2048[2048]x16384[16384],DRAM_INTERLEAVED,32[1]x16384[16384],DRAM_INTERLEAVED,0.2,0.0
AllGatherAsyncDeviceOperation,0,152576,56.31,24,70,34.3,,32[1]x16384[16384],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,4[4]x32[1]x16384[16384],DRAM_INTERLEAVED,0.0,0.0
FastReduceNCDeviceOperation,0,153600,13.50,70,70,100.0,HiFi4,4[4]x32[1]x16384[16384],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,32[32]x16384[16384],DRAM_INTERLEAVED,0.0,0.0
CopyDeviceOperation,0,154624,7.12,70,70,100.0,,32[1]x16384[16384],TILE,BFLOAT8_B,DRAM_INTERLEAVED,32[1]x16384[16384],DRAM_INTERLEAVED,32[1]x16384[16384],DRAM_INTERLEAVED,0.0,0.0
UntilizeWithUnpaddingDeviceOperation,0,155648,7.36,64,70,91.4,HiFi4,32[1]x16384[16384],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,16384[16384],DRAM_INTERLEAVED,38.8,0.0
UntilizeWithUnpaddingDeviceOperation,0,156672,7.66,64,70,91.4,HiFi4,32[1]x16384[16384],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,16384[16384],DRAM_INTERLEAVED,37.3,0.0
UntilizeWithUnpaddingDeviceOperation,0,157696,7.84,64,70,91.4,HiFi4,32[1]x16384[16384],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,16384[16384],DRAM_INTERLEAVED,36.4,0.0
UntilizeWithUnpaddingDeviceOperation,0,158720,7.76,64,70,91.4,HiFi4,32[1]x16384[16384],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,16384[16384],DRAM_INTERLEAVED,36.8,0.0
UntilizeWithUnpaddingDeviceOperation,0,159744,7.46,64,70,91.4,HiFi4,32[1]x16384[16384],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,16384[16384],DRAM_INTERLEAVED,38.3,0.0
UntilizeWithUnpaddingDeviceOperation,0,160768,7.62,64,70,91.4,HiFi4,32[1]x16384[16384],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,16384[16384],DRAM_INTERLEAVED,37.5,0.0
UntilizeWithUnpaddingDeviceOperation,0,161792,7.45,64,70,91.4,HiFi4,32[1]x16384[16384],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,16384[16384],DRAM_INTERLEAVED,38.3,0.0
UntilizeWithUnpaddingDeviceOperation,0,162816,7.58,64,70,91.4,HiFi4,32[1]x16384[16384],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,16384[16384],DRAM_INTERLEAVED,37.7,0.0
UntilizeWithUnpaddingDeviceOperation,0,163840,7.58,64,70,91.4,HiFi4,32[1]x16384[16384],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,16384[16384],DRAM_INTERLEAVED,37.7,0.0
UntilizeWithUnpaddingDeviceOperation,0,164864,7.48,64,70,91.4,HiFi4,32[1]x16384[16384],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,16384[16384],DRAM_INTERLEAVED,38.2,0.0
UntilizeWithUnpaddingDeviceOperation,0,165888,7.66,64,70,91.4,HiFi4,32[1]x16384[16384],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,16384[16384],DRAM_INTERLEAVED,37.3,0.0
UntilizeWithUnpaddingDeviceOperation,0,166912,7.49,64,70,91.4,HiFi4,32[1]x16384[16384],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,16384[16384],DRAM_INTERLEAVED,38.1,0.0
UntilizeWithUnpaddingDeviceOperation,0,167936,7.63,64,70,91.4,HiFi4,32[1]x16384[16384],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,16384[16384],DRAM_INTERLEAVED,37.4,0.0
UntilizeWithUnpaddingDeviceOperation,0,168960,7.43,64,70,91.4,HiFi4,32[1]x16384[16384],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,16384[16384],DRAM_INTERLEAVED,38.5,0.0
UntilizeWithUnpaddingDeviceOperation,0,169984,7.73,64,70,91.4,HiFi4,32[1]x16384[16384],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,16384[16384],DRAM_INTERLEAVED,36.9,0.0
UntilizeWithUnpaddingDeviceOperation,0,171008,7.46,64,70,91.4,HiFi4,32[1]x16384[16384],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,16384[16384],DRAM_INTERLEAVED,38.3,0.0
UntilizeWithUnpaddingDeviceOperation,0,172032,7.44,64,70,91.4,HiFi4,32[1]x16384[16384],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,16384[16384],DRAM_INTERLEAVED,38.4,0.0
UntilizeWithUnpaddingDeviceOperation,0,173056,7.56,64,70,91.4,HiFi4,32[1]x16384[16384],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,16384[16384],DRAM_INTERLEAVED,37.8,0.0
UntilizeWithUnpaddingDeviceOperation,0,174080,7.52,64,70,91.4,HiFi4,32[1]x16384[16384],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,16384[16384],DRAM_INTERLEAVED,38.0,0.0
UntilizeWithUnpaddingDeviceOperation,0,175104,7.29,64,70,91.4,HiFi4,32[1]x16384[16384],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,16384[16384],DRAM_INTERLEAVED,39.2,0.0
UntilizeWithUnpaddingDeviceOperation,0,176128,7.36,64,70,91.4,HiFi4,32[1]x16384[16384],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,16384[16384],DRAM_INTERLEAVED,38.8,0.0
UntilizeWithUnpaddingDeviceOperation,0,177152,7.55,64,70,91.4,HiFi4,32[1]x16384[16384],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,16384[16384],DRAM_INTERLEAVED,37.8,0.0
UntilizeWithUnpaddingDeviceOperation,0,178176,7.49,64,70,91.4,HiFi4,32[1]x16384[16384],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,16384[16384],DRAM_INTERLEAVED,38.2,0.0
UntilizeWithUnpaddingDeviceOperation,0,179200,7.26,64,70,91.4,HiFi4,32[1]x16384[16384],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,16384[16384],DRAM_INTERLEAVED,39.4,0.0
UntilizeWithUnpaddingDeviceOperation,0,180224,6.93,64,70,91.4,HiFi4,32[1]x16384[16384],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,16384[16384],DRAM_INTERLEAVED,41.2,0.0
UntilizeWithUnpaddingDeviceOperation,0,181248,7.18,64,70,91.4,HiFi4,32[1]x16384[16384],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,16384[16384],DRAM_INTERLEAVED,39.8,0.0
UntilizeWithUnpaddingDeviceOperation,0,182272,7.07,64,70,91.4,HiFi4,32[1]x16384[16384],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,16384[16384],DRAM_INTERLEAVED,40.4,0.0
UntilizeWithUnpaddingDeviceOperation,0,183296,7.07,64,70,91.4,HiFi4,32[1]x16384[16384],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,16384[16384],DRAM_INTERLEAVED,40.4,0.0
UntilizeWithUnpaddingDeviceOperation,0,184320,7.00,64,70,91.4,HiFi4,32[1]x16384[16384],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,16384[16384],DRAM_INTERLEAVED,40.8,0.0
UntilizeWithUnpaddingDeviceOperation,0,185344,7.01,64,70,91.4,HiFi4,32[1]x16384[16384],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,16384[16384],DRAM_INTERLEAVED,40.8,0.0
UntilizeWithUnpaddingDeviceOperation,0,186368,6.83,64,70,91.4,HiFi4,32[1]x16384[16384],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,16384[16384],DRAM_INTERLEAVED,41.9,0.0
UntilizeWithUnpaddingDeviceOperation,0,187392,7.16,64,70,91.4,HiFi4,32[1]x16384[16384],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,16384[16384],DRAM_INTERLEAVED,39.9,0.0
ConcatDeviceOperation,0,188416,50.95,32,70,45.7,,16384[16384],ROW_MAJOR,BFLOAT16,DRAM_INTERLEAVED,16384[16384],DRAM_INTERLEAVED,32[32]x16384[16384],DRAM_INTERLEAVED,0.0,0.0
TilizeWithValPaddingDeviceOperation,0,189440,22.20,64,70,91.4,HiFi4,32[32]x16384[16384],ROW_MAJOR,BFLOAT16,DRAM_INTERLEAVED,,,32[32]x16384[16384],DRAM_INTERLEAVED,0.0,0.0
TypecastDeviceOperation,0,190464,20.72,32,70,45.7,HiFi4,32[32]x16384[16384],TILE,BFLOAT16,DRAM_INTERLEAVED,,,32[32]x16384[16384],DRAM_INTERLEAVED,0.0,0.0
TopKDeviceOperation,0,191488,178.08,17,70,24.3,HiFi4,32[32]x16384[16384],TILE,BFLOAT16,DRAM_INTERLEAVED,32[32]x16384[16384],DRAM_INTERLEAVED,32[32]x32[32],DRAM_INTERLEAVED,0.0,0.0
AllGatherAsyncDeviceOperation,0,192512,19.95,6,70,8.6,,32[32]x32[32],TILE,BFLOAT16,DRAM_INTERLEAVED,32[32]x256[256],DRAM_INTERLEAVED,32[32]x256[256],DRAM_INTERLEAVED,0.0,0.0
InterleavedToShardedDeviceOperation,0,193536,0.90,8,70,11.4,,32[32]x256[256],TILE,BFLOAT16,DRAM_INTERLEAVED,,,32[32]x256[256],L1_WIDTH_SHARDED,0.1,0.0
ShardedToInterleavedDeviceOperation,0,194560,1.02,8,70,11.4,,32[32]x256[256],TILE,BFLOAT16,L1_WIDTH_SHARDED,,,32[32]x256[256],DRAM_INTERLEAVED,0.1,0.0
AllGatherAsyncDeviceOperation,0,195584,19.44,6,70,8.6,,32[32]x32[32],TILE,UINT16,DRAM_INTERLEAVED,32[32]x256[256],DRAM_INTERLEAVED,32[32]x256[256],DRAM_INTERLEAVED,0.0,0.0
TypecastDeviceOperation,0,196608,1.78,8,70,11.4,HiFi4,32[32]x256[256],TILE,UINT16,DRAM_INTERLEAVED,,,32[32]x256[256],DRAM_INTERLEAVED,0.1,0.0
InterleavedToShardedDeviceOperation,0,197632,1.35,8,70,11.4,,32[32]x256[256],TILE,INT32,DRAM_INTERLEAVED,,,32[32]x256[256],L1_WIDTH_SHARDED,0.1,0.0
BinaryNgDeviceOperation,0,198656,2.65,50,70,71.4,HiFi4,32[32]x256[256],TILE,INT32,DRAM_INTERLEAVED,32[32]x256[256],L1_WIDTH_SHARDED,32[32]x256[256],L1_WIDTH_SHARDED,0.0,0.0
ShardedToInterleavedDeviceOperation,0,199680,1.39,8,70,11.4,,32[32]x256[256],TILE,INT32,L1_WIDTH_SHARDED,,,32[32]x256[256],DRAM_INTERLEAVED,0.1,0.0
UntilizeDeviceOperation,0,200704,3.04,8,70,11.4,HiFi4,32[32]x256[256],TILE,INT32,DRAM_INTERLEAVED,,,32[32]x256[256],DRAM_INTERLEAVED,21.4,0.0
ManualSeedDeviceOperation,0,201728,19.10,50,70,71.4,HiFi4,32[32],ROW_MAJOR,UINT32,DRAM_INTERLEAVED,32[32],DRAM_INTERLEAVED,,DRAM_INTERLEAVED,0.0,0.0
SamplingDeviceOperation,0,202752,68.56,32,70,45.7,HiFi4,32[32]x256[256],TILE,BFLOAT16,DRAM_INTERLEAVED,32[32]x256[256],DRAM_INTERLEAVED,32[32],DRAM_INTERLEAVED,0.0,0.0
