dm	latent	label	sp	per_dev	q	k	chunk_size	duration_ms	util	cores	status
on	1	C1	8	640	32	256	5120	6.156	41.4	110	OK
on	1	C1	8	640	32	384	5120	6.151	41.4	110	OK
on	1	C1	8	640	32	512	5120	6.029	42.3	110	OK
on	1	C1	8	640	32	640	5120	5.829	43.7	110	OK
on	1	C1	8	640	32	768	5120	6.448	39.5	110	OK
on	1	C2	4	1280	64	256	5120	8.588	59.4	110	OK
on	1	C2	4	1280	64	384	5120	8.316	61.3	110	OK
on	1	C2	4	1280	64	512	5120	8.219	62.0	110	OK
on	1	C2	4	1280	64	640	5120	8.002	63.7	110	OK
on	1	C2	4	1280	64	768	5120	NA	NA	NA	OOM
on	1	C3	4	1248	96	256	4992	7.450	65.0	110	OK
on	1	C3	4	1248	96	384	4992	8.177	59.3	110	OK
on	1	C3	4	1248	96	512	4992	6.751	71.8	110	OK
on	1	C3	4	1248	96	640	4992	NA	NA	NA	OOM
on	1	C3	4	1248	96	768	4992	NA	NA	NA	OOM
on	1	C4	8	640	128	256	5120	4.977	51.2	110	OK
on	1	C4	8	640	128	384	5120	4.889	52.1	110	OK
on	1	C4	8	640	128	512	5120	4.910	51.9	110	OK
on	1	C4	8	640	128	640	5120	NA	NA	NA	OOM
on	1	C4	8	640	128	768	5120	NA	NA	NA	OOM
on	0	C1	8	640	32	256	5120	8.821	28.9	110	OK
on	0	C1	8	640	32	384	5120	8.657	29.4	110	OK
on	0	C1	8	640	32	512	5120	8.358	30.5	110	OK
on	0	C1	8	640	32	640	5120	8.156	31.2	110	OK
on	0	C1	8	640	32	768	5120	8.831	28.9	110	OK
on	0	C2	4	1280	64	256	5120	8.749	58.3	110	OK
on	0	C2	4	1280	64	384	5120	8.554	59.6	110	OK
on	0	C2	4	1280	64	512	5120	8.479	60.1	110	OK
on	0	C2	4	1280	64	640	5120	8.324	61.2	110	OK
on	0	C2	4	1280	64	768	5120	NA	NA	NA	OOM
on	0	C3	4	1248	96	256	4992	7.752	62.5	110	OK
on	0	C3	4	1248	96	384	4992	8.270	58.6	110	OK
on	0	C3	4	1248	96	512	4992	7.245	66.9	110	OK
on	0	C3	4	1248	96	640	4992	NA	NA	NA	OOM
on	0	C3	4	1248	96	768	4992	NA	NA	NA	OOM
on	0	C4	8	640	128	256	5120	5.457	46.7	110	OK
on	0	C4	8	640	128	384	5120	5.381	47.4	110	OK
on	0	C4	8	640	128	512	5120	5.440	46.8	110	OK
on	0	C4	8	640	128	640	5120	NA	NA	NA	OOM
on	0	C4	8	640	128	768	5120	NA	NA	NA	OOM
off	1	C1	8	640	32	256	5120	4.564	55.8	110	OK
off	1	C1	8	640	32	384	5120	4.248	60.0	110	OK
off	1	C1	8	640	32	512	5120	4.074	62.6	110	OK
off	1	C1	8	640	32	640	5120	4.028	63.3	110	OK
off	1	C1	8	640	32	768	5120	3.984	64.0	110	OK
off	1	C2	4	1280	64	256	5120	8.467	60.2	110	OK
off	1	C2	4	1280	64	384	5120	8.162	62.4	110	OK
off	1	C2	4	1280	64	512	5120	7.979	63.9	110	OK
off	1	C2	4	1280	64	640	5120	7.826	65.1	110	OK
off	1	C2	4	1280	64	768	5120	NA	NA	NA	OOM
off	1	C3	4	1248	96	256	4992	7.273	66.6	110	OK
off	1	C3	4	1248	96	384	4992	7.964	60.8	110	OK
off	1	C3	4	1248	96	512	4992	6.620	73.2	110	OK
off	1	C3	4	1248	96	640	4992	NA	NA	NA	OOM
off	1	C3	4	1248	96	768	4992	NA	NA	NA	OOM
off	1	C4	8	640	128	256	5120	4.763	53.5	110	OK
off	1	C4	8	640	128	384	5120	4.600	55.4	110	OK
off	1	C4	8	640	128	512	5120	4.512	56.5	110	OK
off	1	C4	8	640	128	640	5120	NA	NA	NA	OOM
off	1	C4	8	640	128	768	5120	NA	NA	NA	OOM
off	0	C1	8	640	32	256	5120	5.056	50.4	110	OK
off	0	C1	8	640	32	384	5120	4.785	53.3	110	OK
off	0	C1	8	640	32	512	5120	4.739	53.8	110	OK
off	0	C1	8	640	32	640	5120	4.732	53.9	110	OK
off	0	C1	8	640	32	768	5120	4.731	53.9	110	OK
off	0	C2	4	1280	64	256	5120	8.471	60.2	110	OK
off	0	C2	4	1280	64	384	5120	8.229	61.9	110	OK
off	0	C2	4	1280	64	512	5120	8.087	63.0	110	OK
off	0	C2	4	1280	64	640	5120	7.984	63.8	110	OK
off	0	C2	4	1280	64	768	5120	NA	NA	NA	OOM
off	0	C3	4	1248	96	256	4992	7.511	64.5	110	OK
off	0	C3	4	1248	96	384	4992	8.037	60.3	110	OK
off	0	C3	4	1248	96	512	4992	7.021	69.0	110	OK
off	0	C3	4	1248	96	640	4992	NA	NA	NA	OOM
off	0	C3	4	1248	96	768	4992	NA	NA	NA	OOM
off	0	C4	8	640	128	256	5120	5.210	48.9	110	OK
off	0	C4	8	640	128	384	5120	5.076	50.2	110	OK
off	0	C4	8	640	128	512	5120	4.995	51.0	110	OK
off	0	C4	8	640	128	640	5120	NA	NA	NA	OOM
off	0	C4	8	640	128	768	5120	NA	NA	NA	OOM
on	1	C5	8	640	64	256	5120	5.934	42.9	110	OK
on	1	C5	8	640	64	384	5120	5.761	44.2	110	OK
on	1	C5	8	640	64	512	5120	5.564	45.8	110	OK
on	1	C5	8	640	64	640	5120	5.440	46.8	110	OK
on	1	C5	8	640	64	768	5120	NA	NA	NA	OOM
on	1	C6	8	640	96	256	5120	7.615	33.5	110	OK
on	1	C6	8	640	96	384	5120	8.460	30.1	110	OK
on	1	C6	8	640	96	512	5120	6.944	36.7	110	OK
on	1	C6	8	640	96	640	5120	NA	NA	NA	OOM
on	1	C6	8	640	96	768	5120	NA	NA	NA	OOM
on	1	C7	8	640	160	256	5120	6.324	40.3	110	OK
on	1	C7	8	640	160	384	5120	5.998	42.5	110	OK
on	1	C7	8	640	160	512	5120	5.937	42.9	110	OK
on	1	C7	8	640	160	640	5120	NA	NA	NA	OOM
on	1	C7	8	640	160	768	5120	NA	NA	NA	OOM
on	1	C8	8	640	192	256	5120	7.258	35.1	110	OK
on	1	C8	8	640	192	384	5120	7.082	36.0	110	OK
on	1	C8	8	640	192	512	5120	NA	NA	NA	OOM
on	1	C8	8	640	192	640	5120	NA	NA	NA	OOM
on	1	C8	8	640	192	768	5120	NA	NA	NA	OOM
on	0	C5	8	640	64	256	5120	6.291	40.5	110	OK
on	0	C5	8	640	64	384	5120	6.114	41.7	110	OK
on	0	C5	8	640	64	512	5120	5.984	42.6	110	OK
on	0	C5	8	640	64	640	5120	5.869	43.4	110	OK
on	0	C5	8	640	64	768	5120	NA	NA	NA	OOM
on	0	C6	8	640	96	256	5120	7.714	33.0	110	OK
on	0	C6	8	640	96	384	5120	8.459	30.1	110	OK
on	0	C6	8	640	96	512	5120	7.154	35.6	110	OK
on	0	C6	8	640	96	640	5120	NA	NA	NA	OOM
on	0	C6	8	640	96	768	5120	NA	NA	NA	OOM
on	0	C7	8	640	160	256	5120	6.626	38.5	110	OK
on	0	C7	8	640	160	384	5120	6.347	40.2	110	OK
on	0	C7	8	640	160	512	5120	6.302	40.4	110	OK
on	0	C7	8	640	160	640	5120	NA	NA	NA	OOM
on	0	C7	8	640	160	768	5120	NA	NA	NA	OOM
on	0	C8	8	640	192	256	5120	7.427	34.3	110	OK
on	0	C8	8	640	192	384	5120	7.285	35.0	110	OK
on	0	C8	8	640	192	512	5120	NA	NA	NA	OOM
on	0	C8	8	640	192	640	5120	NA	NA	NA	OOM
on	0	C8	8	640	192	768	5120	NA	NA	NA	OOM
off	1	C5	8	640	64	256	5120	5.711	44.6	110	OK
off	1	C5	8	640	64	384	5120	5.479	46.5	110	OK
off	1	C5	8	640	64	512	5120	5.341	47.7	110	OK
off	1	C5	8	640	64	640	5120	5.220	48.8	110	OK
off	1	C5	8	640	64	768	5120	NA	NA	NA	OOM
off	1	C6	8	640	96	256	5120	7.468	34.1	110	OK
off	1	C6	8	640	96	384	5120	8.192	31.1	110	OK
off	1	C6	8	640	96	512	5120	6.785	37.6	110	OK
off	1	C6	8	640	96	640	5120	NA	NA	NA	OOM
off	1	C6	8	640	96	768	5120	NA	NA	NA	OOM
off	1	C7	8	640	160	256	5120	6.138	41.5	110	OK
off	1	C7	8	640	160	384	5120	5.773	44.1	110	OK
off	1	C7	8	640	160	512	5120	5.617	45.4	110	OK
off	1	C7	8	640	160	640	5120	NA	NA	NA	OOM
off	1	C7	8	640	160	768	5120	NA	NA	NA	OOM
off	1	C8	8	640	192	256	5120	7.070	36.0	110	OK
off	1	C8	8	640	192	384	5120	6.854	37.2	110	OK
off	1	C8	8	640	192	512	5120	NA	NA	NA	OOM
off	1	C8	8	640	192	640	5120	NA	NA	NA	OOM
off	1	C8	8	640	192	768	5120	NA	NA	NA	OOM
off	0	C5	8	640	64	256	5120	6.046	42.2	110	OK
off	0	C5	8	640	64	384	5120	5.851	43.6	110	OK
off	0	C5	8	640	64	512	5120	5.730	44.5	110	OK
off	0	C5	8	640	64	640	5120	5.619	45.4	110	OK
off	0	C5	8	640	64	768	5120	NA	NA	NA	OOM
off	0	C6	8	640	96	256	5120	7.576	33.6	110	OK
off	0	C6	8	640	96	384	5120	8.217	31.0	110	OK
off	0	C6	8	640	96	512	5120	6.979	36.5	110	OK
off	0	C6	8	640	96	640	5120	NA	NA	NA	OOM
off	0	C6	8	640	96	768	5120	NA	NA	NA	OOM
off	0	C7	8	640	160	256	5120	6.423	39.7	110	OK
off	0	C7	8	640	160	384	5120	6.101	41.8	110	OK
off	0	C7	8	640	160	512	5120	5.968	42.7	110	OK
off	0	C7	8	640	160	640	5120	NA	NA	NA	OOM
off	0	C7	8	640	160	768	5120	NA	NA	NA	OOM
off	0	C8	8	640	192	256	5120	7.232	35.2	110	OK
off	0	C8	8	640	192	384	5120	7.044	36.2	110	OK
off	0	C8	8	640	192	512	5120	NA	NA	NA	OOM
off	0	C8	8	640	192	640	5120	NA	NA	NA	OOM
off	0	C8	8	640	192	768	5120	NA	NA	NA	OOM
